MLB
Washington Nationals, +1.5,  +112 , 9.5
Baltimore Orioles, -1.5,  -134 , 9.5
Boston Red Sox, -1.5,  -143 , 10.0
Seattle Mariners, +1.5,  +120 , 10.0
Chicago Cubs, -1.5,  -114 , 9.5
Los Angeles Dodgers, +1.5,  -106 , 9.5
Minnesota Twins, -1.5,  -265 , 8.5
Chicago White Sox, +1.5,  +215 , 8.5
Kansas City Royals, -1.5,  -195 , 8.5
Colorado Rockies, +1.5,  +160 , 8.5
Houston Astros, +1.5,  -109 , 8.5
Toronto Blue Jays, -1.5,  -111 , 8.5
Los Angeles Angels, -1.5,  -133 , 9.0
Pittsburgh Pirates, +1.5,  +111 , 9.0
Arizona Diamondbacks, -1.5,  -168 , 9.0
Tampa Bay Rays, +1.5,  +140 , 9.0
San Francisco Giants, -1.5,  -144 , 6.5
Milwaukee Brewers, +1.5,  +121 , 6.5
Athletics, +1.5,  -110 , 9.5
Texas Rangers, -1.5,  -110 , 9.5
